Architecture    Offer                 Publisher                      Sku                                               Urn                                                                                                          Version
--------------  --------------------  -----------------------------  ------------------------------------------------  -----------------------------------------------------------------------------------------------------------  ------------------
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2012R2                                            MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2012R2:4.5.5202                                           4.5.5202
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2012R2CN                                          MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2012R2CN:4.5.5202                                         4.5.5202
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2012R2CNExcel                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2012R2CNExcel:4.5.5202                                    4.5.5202
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016U2CN-WS2012R2                                 MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016U2CN-WS2012R2:5.2.6293                                5.2.6293
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.8594.251112                                       14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.8688.251205                                       14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.8783.260109                                       14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.8868.260206                                       14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.8957.260304                                       14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.9060.260413                                       14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.9140.260507                                       14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.9234.260607                                       14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2016-Datacenter:14393.9339.260711                                       14393.9339.260711
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016U2CN-WS2016                                   MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016U2CN-WS2016:5.2.6293                                  5.2.6293
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.8594.251112                             14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.8688.251205                             14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.8783.260109                             14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.8868.260206                             14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.8957.260304                             14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.9060.260413                             14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.9140.260507                             14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.9234.260607                             14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gensecond                         MicrosoftWindowsServer:WindowsServer:2016-datacenter-gensecond:14393.9339.260711                             14393.9339.260711
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016U2HN-WS2012R2                                 MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016U2HN-WS2012R2:5.2.6293                                5.2.6293
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016U2HN-WS2016                                   MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016U2HN-WS2016:5.2.6293                                  5.2.6293
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gs                                MicrosoftWindowsServer:WindowsServer:2016-datacenter-gs:14393.8594.251112                                    14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gs                                MicrosoftWindowsServer:WindowsServer:2016-datacenter-gs:14393.8688.251205                                    14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gs                                MicrosoftWindowsServer:WindowsServer:2016-datacenter-gs:14393.8783.260109                                    14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gs                                MicrosoftWindowsServer:WindowsServer:2016-datacenter-gs:14393.8868.260206                                    14393.8868.260206
